initial_capital,final_equity,total_return,sharpe_ratio,volatility,max_drawdown,num_trades,win_rate,equity_curve,strategies,parameters
10000,9981.530000000022,-0.18469999999977518,-0.1444893769050044,1.278294667442628,2.601635347866813,167,51.204819277108435,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285   9981.530         1  0.000013
104260     104286   9981.460         1 -0.000007
104261     104287   9981.295         1 -0.000017
104262     104288   9981.345         1  0.000005
104263     104289   9981.530         1  0.000019

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,10011.225000000008,0.1122500000000764,0.08951880617710228,1.2539264629825733,2.170178239171915,168,55.08982035928144,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285  10011.225        -1 -0.000013
104260     104286  10011.295        -1  0.000007
104261     104287  10011.460        -1  0.000016
104262     104288  10011.410        -1 -0.000005
104263     104289  10011.225        -1 -0.000018

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,9923.264999999998,-0.767350000000024,-0.40296743232109794,1.9042481810008254,3.0356473600712466,375,33.9572192513369,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285   9923.265         1  0.000013
104260     104286   9923.195         1 -0.000007
104261     104287   9923.030         1 -0.000017
104262     104288   9923.080         1  0.000005
104263     104289   9923.265         1  0.000019

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
10000,10071.10500000001,0.7110500000001048,0.19607063224614513,3.6264992459832515,2.1576741515911633,1423,65.40084388185655,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285  10071.105        -1 -0.000013
104260     104286  10071.175        -1  0.000007
104261     104287  10071.340        -1  0.000016
104262     104288  10071.290        -1 -0.000005
104263     104289  10071.105        -1 -0.000018

[104264 rows x 4 columns]",RSI + BB,"{'RSI': {'oversold': 35, 'overbought': 70}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10107.840000000011,1.0784000000001106,0.27200418348030453,3.964644904361172,2.1357207720505285,1697,67.98349056603774,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285  10107.840        -1 -0.000013
104260     104286  10107.910        -1  0.000007
104261     104287  10108.075        -1  0.000016
104262     104288  10108.025        -1 -0.000005
104263     104289  10107.840        -1 -0.000018

[104264 rows x 4 columns]",RSI + BB,"{'RSI': {'oversold': 35, 'overbought': 65}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,9840.184999999998,-1.598150000000023,-0.9170622159810531,1.742684380786921,2.2428298336181043,314,39.29712460063898,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285   9840.185        -1 -0.000013
104260     104286   9840.255        -1  0.000007
104261     104287   9840.420        -1  0.000017
104262     104288   9840.370        -1 -0.000005
104263     104289   9840.185        -1 -0.000019

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}"
10000,10011.225000000008,0.1122500000000764,0.08951880617710228,1.2539264629825733,2.170178239171915,168,55.08982035928144,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285  10011.225        -1 -0.000013
104260     104286  10011.295        -1  0.000007
104261     104287  10011.460        -1  0.000016
104262     104288  10011.410        -1 -0.000005
104263     104289  10011.225        -1 -0.000018

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,9923.264999999998,-0.767350000000024,-0.40296743232109794,1.9042481810008254,3.0356473600712466,375,33.9572192513369,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285   9923.265         1  0.000013
104260     104286   9923.195         1 -0.000007
104261     104287   9923.030         1 -0.000017
104262     104288   9923.080         1  0.000005
104263     104289   9923.265         1  0.000019

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
10000,9981.530000000022,-0.18469999999977518,-0.1444893769050044,1.278294667442628,2.601635347866813,167,51.204819277108435,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285   9981.530         1  0.000013
104260     104286   9981.460         1 -0.000007
104261     104287   9981.295         1 -0.000017
104262     104288   9981.345         1  0.000005
104263     104289   9981.530         1  0.000019

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,9981.530000000022,-0.18469999999977518,-0.1444893769050044,1.278294667442628,2.601635347866813,167,51.204819277108435,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285   9981.530         1  0.000013
104260     104286   9981.460         1 -0.000007
104261     104287   9981.295         1 -0.000017
104262     104288   9981.345         1  0.000005
104263     104289   9981.530         1  0.000019

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,10011.225000000008,0.1122500000000764,0.08951880617710228,1.2539264629825733,2.170178239171915,168,55.08982035928144,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285  10011.225        -1 -0.000013
104260     104286  10011.295        -1  0.000007
104261     104287  10011.460        -1  0.000016
104262     104288  10011.410        -1 -0.000005
104263     104289  10011.225        -1 -0.000018

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,9840.184999999998,-1.598150000000023,-0.9170622159810531,1.742684380786921,2.2428298336181043,314,39.29712460063898,"        timestamp     equity  position   returns
0              26  10000.000         0       NaN
1              27  10000.000         0  0.000000
2              28  10000.000         0  0.000000
3              29  10000.000         0  0.000000
4              30  10000.000         0  0.000000
...           ...        ...       ...       ...
104259     104285   9840.185        -1 -0.000013
104260     104286   9840.255        -1  0.000007
104261     104287   9840.420        -1  0.000017
104262     104288   9840.370        -1 -0.000005
104263     104289   9840.185        -1 -0.000019

[104264 rows x 4 columns]",MACD + SMA,"{'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",MACD + BB,"{'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",MACD + BB,"{'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",MACD + BB,"{'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",MACD + BB,"{'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",SMA + BB,"{'SMA': {'fast_period': 5, 'slow_period': 20}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",SMA + BB,"{'SMA': {'fast_period': 8, 'slow_period': 20}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",SMA + BB,"{'SMA': {'fast_period': 5, 'slow_period': 25}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",SMA + BB,"{'SMA': {'fast_period': 8, 'slow_period': 25}, 'BB': {'period': 20, 'std_dev': 2.0}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'MACD': {'fast_period': 15, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 70}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 70}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 70}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 20}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 70}, 'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 8, 'slow_period': 25}}"
10000,10000.0,0.0,0.0,0.0,0.0,0,0.0,"        timestamp   equity  position  returns
0              26  10000.0         0      NaN
1              27  10000.0         0      0.0
2              28  10000.0         0      0.0
3              29  10000.0         0      0.0
4              30  10000.0         0      0.0
...           ...      ...       ...      ...
104259     104285  10000.0         0      0.0
104260     104286  10000.0         0      0.0
104261     104287  10000.0         0      0.0
104262     104288  10000.0         0      0.0
104263     104289  10000.0         0      0.0

[104264 rows x 4 columns]",RSI + MACD + SMA,"{'RSI': {'oversold': 30, 'overbought': 70}, 'MACD': {'fast_period': 12, 'slow_period': 30, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}"
